time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,relative_humidity_2m,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,datetime,year,month,day,day_of_year,season
2025-12-05,21.6,6.5,13.054166666666667,18.8,3.9,52.041666666666664,0.0,0.0,0.0,0,6.8,20.9,6,3806.0,2.38,0,2025-12-05,2025,12,5,339,1
2025-12-06,21.8,6.2,13.549999999999999,18.5,3.4,41.625,0.0,0.0,0.0,0,7.3,18.4,166,3483.0,2.4,3,2025-12-06,2025,12,6,340,1
2025-12-07,23.2,8.4,14.933333333333332,20.1,5.9,40.0,0.0,0.0,0.0,0,9.8,20.2,148,3575.0,2.48,3,2025-12-07,2025,12,7,341,1
2025-12-08,24.0,7.1,15.200000000000001,20.6,3.7,32.125,0.0,0.0,0.0,0,9.1,20.5,158,3705.0,2.79,0,2025-12-08,2025,12,8,342,1
2025-12-09,23.9,8.6,15.775,20.2,5.6,29.5,0.0,0.0,0.0,0,11.0,27.7,167,3641.0,2.94,0,2025-12-09,2025,12,9,343,1
2025-12-10,17.3,10.1,13.1875,14.6,7.7,56.5,7.0,7.0,0.0,8,19.3,44.6,153,1415.0,1.29,3,2025-12-10,2025,12,10,344,1
2025-12-11,17.0,7.0,11.4375,15.1,5.5,76.79166666666667,0.0,0.0,0.0,0,9.9,22.3,180,3388.0,1.88,0,2025-12-11,2025,12,11,345,1
2025-12-12,14.8,8.2,10.554166666666667,13.9,6.4,81.375,2.5,2.5,0.0,8,7.8,18.7,11,995.0,0.73,3,2025-12-12,2025,12,12,346,1
